Company,ZIP,City,Country,State,Sales,County,latitude,longitude,Year
"Don Hart's Radiator Service Center, Inc.",77484,Waller,USA,TX,9138,Waller,30.07924,-95.92812,2023
"Albert's Truck Service & Supply, Inc.",73096,Weatherford,USA,OK,0,Custer,35.51305,-98.7295,2023
Western DPF Services,73131,Oklahoma City,USA,OK,0,Oklahoma,35.57653,-97.46465,2023
Western DPF Services,73127,Oklahoma City,USA,OK,0,Oklahoma,35.47785,-97.64836,2023
Nelson International,56201,Willmar,USA,MN,0,Kandiyohi,45.10181,-95.04226,2023
Nelson International,58501,Bismarck,USA,ND,0,Burleigh,46.8189,-100.70234,2023
Nelson International,58601,Dickinson,USA,ND,0,Stark,46.90964,-102.82766,2023
Nelson International,56721,E Grand Forks,USA,MN,0,Polk,47.97108,-96.94336,2023
Stewart & Stevenson FDDA LLC,32809,Orlando,USA,FL,0,Orange,28.46301,-81.38428,2023
"Truck Equipment, Inc.",54914,Appleton,USA,WI,2817,Outagamie,44.26353,-88.48239,2023
JX Truck Center - Wausau,54455,Kronenwetter,USA,WI,0,Marathon,44.7625,-89.68559,2023
JX Truck Center - Waukesha,53072,Pewaukee,USA,WI,0,Waukesha,43.07989,-88.26638,2023
JX Truck Center - Elmhurst,60126,Elmhurst,USA,IL,0,DuPage,41.89627,-87.94194,2023
JX Truck Center - Bolingbrook,60440,Bolingbrook,USA,IL,0,Will,41.70125,-88.07572,2023
JX Truck Center - Rockford,61109,Rockford,USA,IL,0,Winnebago,42.1924,-89.05392,2023
JX Truck Center - Grand Rapids,49509,Wyoming,USA,MI,0,Kent,42.89773,-85.69299,2023
JX Truck Center - Indianapolis,46217,Indianapolis,USA,IN,0,Marion,39.67254,-86.19338,2023
Cape Warehouse Inc.,63701,Cape Girardeau,USA,MO,0,Cape Girardeau,37.33522,-89.58043,2023
Truck Equipment - Wausau,54476,Weston,USA,WI,0,Marathon,44.88816,-89.52389,2023
Dick Williams Inc.,33912,Ft. Myers,USA,FL,0,Lee,26.53288,-81.82502,2023
Diesel Service Center,60490,Bolingbrook,USA,IL,0,Will,41.67575,-88.14118,2023
CTEC Holding Co. LLC,64125,Kansas City,USA,MO,0,Jackson,39.1065,-94.49388,2023
"Custom Truck & Equipment, LLC",64125,Kansas City,USA,MO,-695,Jackson,39.1065,-94.49388,2023
"Best Deal Spring, Inc.",84104,Salt Lake City,USA,UT,0,Salt Lake,40.74846,-111.98286,2023
Miami Star Truck Parts LLC,33166,Medley,USA,FL,4758,Miami-Dade,25.8253,-80.31049,2023
Cumberland International Trucks,32220,Jacksonville,USA,FL,8207,Duval,30.33693,-81.85335,2023
Diesel Power Supply Co.,76706,Waco,USA,TX,0,McLennan,31.465,-97.09131,2023
Credit Card Transaction,31021,DUBLIN,USA,GA,0,Laurens,32.49002,-82.93435,2023
Eagle Mark 4 Equipment Co.,44901,Mansfield,USA,OH,0,Richland,40.76391,-82.51247,2023
Eagle Mark 4 Equipment Co.,44905,Mansfield,USA,OH,0,Richland,40.77753,-82.46915,2023
Freightliner of Grand Rapids Inc.,49548,Wyoming,USA,MI,0,Kent,42.86795,-85.66273,2023
"Sunair Products, Inc.",76117,Ft. Worth,USA,TX,0,Tarrant,32.80374,-97.26766,2023
"Sunair Products, Inc.",76117,Ft. Worth,USA,TX,0,Tarrant,32.80374,-97.26766,2023
Chatham Radiator Specialty Inc.,31408,Savannah,USA,GA,0,Chatham,32.11164,-81.18158,2023
Commercial Avenue Truck & Trailer Parts,92243,El Centro,USA,CA,0,Imperial,32.77285,-115.60065,2023
"Serck Services, Inc.",80216,Denver,USA,CO,0,Denver,39.78659,-104.96187,2023
"Serck Services, Inc.",80216,Denver,USA,CO,0,Denver,39.78659,-104.96187,2023
Crossroads Truck Equipment Inc.,62401,Effingham,USA,IL,0,Effingham,39.11843,-88.56467,2023
Crossroads Truck Equipment Inc,62401,Effingham,USA,IL,0,Effingham,39.11843,-88.56467,2023
Crossroads Truck Equipment Inc,62401,Effingham,USA,IL,0,Effingham,39.11843,-88.56467,2023
Crossroads Truck Equipment Inc,62650,Jacksonville,USA,IL,0,Morgan,39.73799,-90.22027,2023
Crossroads Truck Equipment Inc,47421,Bedford,USA,IN,0,Lawrence,38.86415,-86.45122,2023
Crossroads Truck Equipment Inc,62526,Decatur,USA,IL,0,Macon,39.90322,-88.9902,2023
Crossroads Truck Equipment Inc,47591,Vincennes,USA,IN,0,Knox,38.62136,-87.50594,2023
"Eco Clean Advantage, LLC",50023,Ankeny,USA,IA,0,Polk,41.72768,-93.63412,2023
"Support Equipment, LLC",82636,Evansville,USA,WY,0,Natrona,42.83473,-106.14286,2023
Engine Components of USA Corp.,92154,San Diego,USA,CA,18154,San Diego,32.578,-116.96621,2023
Holt Truck Centers,74116,Tulsa,USA,OK,1120,Tulsa,36.18814,-95.83621,2023
"Air Flow Solutions, Inc.",75114,Crandall,USA,TX,0,Kaufman,32.60769,-96.44322,2023
"Air Flow Solutions, Inc.",75159,Seagoville,USA,TX,0,Dallas,32.60652,-96.53939,2023
CIT Trucks - Joliet,60436,Joliet,USA,IL,4425,Will,41.48973,-88.12392,2023
CIT Trucks - Morton,61550,Morton,USA,IL,8612,Tazewell,40.61054,-89.44049,2023
DPF Alternatives- Oklahoma,73107,Oklahoma City,USA,OK,17939,Oklahoma,35.48201,-97.5744,2023
"Auto Wheel & Rim Co., Inc.",47711,Evansville,USA,IN,0,Vanderburgh,38.0157,-87.53606,2023
Brake and Wheel of Owensboro,42301,Owensboro,USA,KY,0,Daviess,37.73983,-87.24643,2023
Brake and Wheel of Paducah,42001,Paducah,USA,KY,0,McCracken,37.03317,-88.7135,2023
Brake and Wheel of Washington,47501,Washington,USA,IN,0,Daviess,38.66139,-87.17479,2023
HDA Truck Pride - Central Pay,63042,Hazelwood,USA,MO,0,St. Louis,38.78133,-90.37909,2023
Toledo Spring Parts & Service,43612,Toledo,USA,OH,44570,Lucas,41.70946,-83.54899,2023
Total Truck Parts,33413,West Palm Beach,USA,FL,2480,Palm Beach,26.66397,-80.1553,2023
